Sample_ID,fish_type2,fish_type,clutch_ID,housing_tank_ID
1S,S,S,L6,D21
10S,S,S,L2,D14
11S,S,S,L3,A15
13S,S,S,L6,B31
14S,S,S,L2,B23
15S,S,S,L3,C22
2S,S,S,L2,C15
20S,S,S,L2,B35
21S,S,S,L2,A11
23S,S,S,L6,A22
26S,S,S,L3,C12
3S,S,S,L3,D12
5S,S,S,L3,A33
6S,S,S,L6,B13
7S,S,S,L3,C35
1P1,P1,P,L3,D33
10P1,P1,P,L6,D31
11P1,P1,P,L2,A25
13P1,P1,P,L2,B33
14P1,P1,P,L3,B32
15P1,P1,P,L6,C32
2P1,P1,P,L6,C34
20P1,P1,P,L6,B22
21P1,P1,P,L3,A12
23P1,P1,P,L3,B12
26P1,P1,P,L6,C21
3P1,P1,P,L2,D23
5P1,P1,P,L6,A31
6P1,P1,P,L3,B25
7P1,P1,P,L6,C31
1P2,P2,P,L2,D33
10P2,P2,P,L3,D31
11P2,P2,P,L6,A25
13P2,P2,P,L3,B33
14P2,P2,P,L6,B32
15P2,P2,P,L2,C32
2P2,P2,P,L3,C34
20P2,P2,P,L3,B22
21P2,P2,P,L6,A12
23P2,P2,P,L2,B12
26P2,P2,P,L2,C21
3P2,P2,P,L6,D23
5P2,P2,P,L2,A31
6P2,P2,P,L2,B25
7P2,P2,P,L2,C31
